Название тура,Регион,Сезон,Кол-во туристов,Длительность,Цена,Оценка
Засечная черта. Тихонова Пустынь – Калуга – Оптина пустынь – Козельск – Серпухов,Калужская область,Лето,13,7,384163.0,5
Саяны: осенние краски,Республика Тыва,Осень,10,18,724960.0,5
Невская улица: гастрономический тур по Санкт-Петербургу,Санкт-Петербург,Лето,8,18,539648.0,4
Кемпинг на озере Лама. Знакомство с плато Путорана,Плато Путорана,Лето,3,11,170448.0,3
Зимние узоры Байкала,Байкал,Зима,2,19,160220.0,4
Джигитовка для начинающих. Зимний тур на Кавказе,Кавказ,Зима,4,6,116752.0,5
Сказочный Удельный парк: круглый год,Санкт-Петербург,Лето,5,8,177680.0,2
Сибирские каникулы,Сибирь,Зима,14,10,622160.0,5
"Костромская область: говорят, что здесь живут сказки",Костромская область,Лето,13,19,852722.0,5
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Зима,11,20,759440.0,3
Город-герой: исторические маршруты в Новороссийске ,Краснодарский край,Осень,14,21,978488.0,5
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Весна,1,18,61840.0,2
Тайга и народные традиции Сибири,Алтай,Осень,3,3,59016.0,4
Кочевники Байкала,Байкал,Лето,5,19,429050.0,4
Карельские узоры,Карелия,Осень,8,14,441088.0,4
Калининградская область: исторические маршруты,Калининградская область,Лето,8,11,360896.0,4
Пять колец Кавказа. Экскурсионный тур,Кавказ,Осень,6,11,272784.0,4
Восхождение на Белуху за 10 дней,Алтай,Лето,8,15,494960.0,4
Сказочная осень в Татарстане,Татарстан,Осень,10,16,556320.0,3
Кострома и ее усадьбы: время путешествий,Костромская область,Осень,5,17,281880.0,2
Горнолыжка для начинающих. Активный тур на Домбай,Домбай,Зима,11,10,461780.0,2
Долина гейзеров и вулканов Камчатки,Камчатка,Осень,12,18,1030656.0,5
Исторические городки Поволжья,Татарстан,Лето,2,9,75062.0,4
Северное сияние осенью: Мурманск,Мурманская область,Осень,6,15,350160.0,4
Саяны: осенние краски,Республика Тыва,Осень,8,12,413312.0,5
Калмыкия на 100%,Калмыкия,Весна,2,11,88640.0,3
Байкальское путешествие. Пеший тур-комфорт,Байкал,Лето,11,18,900020.0,5
Сплав по реке к Байкалу,Байкал,Лето,8,8,335360.0,4
Настоящая осень в Нижнем Новгороде,Нижегородская область,Осень,13,17,732888.0,4
Северное сияние осенью: Мурманск,Мурманская область,Осень,9,21,699336.0,4
